player_id,team_id,player_name,position,goalkeeper_saves,goalkeeper_action_inside_penalty_area,goalkeeper_action_outside_penalty_area
957,34,Orlando Gill,GK,28,141,124
345,14,Eloy Room,GK,21,81,72
439,43,Gregor Kobel,GK,20,100,88
306,35,Diogo Costa,GK,20,114,93
588,18,Jordan Pickford,GK,19,133,110
1216,29,Yassine Bounou,GK,19,112,91
1191,8,Vozinha,GK,18,136,102
1240,25,Zion Suzuki,GK,17,78,64
863,37,Mohammed Alowais,GK,17,86,78
173,30,Bart Verbruggen,GK,17,57,54
955,32,Orjan Nyland,GK,17,107,93
1150,5,Thibaut Courtois,GK,17,110,90
745,36,Mahmoud Abunada,GK,16,124,103
86,24,Alireza Beiranvand,GK,15,75,65
713,11,Lionel Mpasi,GK,15,83,70
64,4,Alexander Schlager,GK,15,85,74
88,7,Alisson,GK,15,67,59
877,17,Mostafa Shoubir,GK,14,119,105
1048,40,Ronwen Williams,GK,14,72,59
976,3,Patrick Beach,GK,14,91,76
1179,41,Unai Simon,GK,14,108,84
580,22,Johny Placide,GK,13,56,48
470,16,Hernan Galindez,GK,12,68,63
522,42,Jacob Widell Zetterstrom,GK,12,54,46
313,13,Dominik Livakovic,GK,12,80,68
833,19,Mike Maignan,GK,11,80,64
1207,12,Yahia Fofana,GK,11,84,68
670,27,Kim Seunggyu,GK,11,42,34
787,15,Matej Kovar,GK,11,60,52
806,31,Max Crocombe,GK,11,97,88
800,46,Matt Freese,GK,10,58,48
958,33,Orlando Mosquera,GK,9,48,42
348,2,Emiliano Martinez,GK,9,87,73
117,38,Angus Gunn,GK,9,75,64
721,1,Luca Zidane,GK,9,34,32
1219,26,Yazeed Abulaila,GK,8,70,56
331,39,Edouard Mendy,GK,8,34,25
692,21,Lawrence Ati Zigi,GK,8,31,30
179,21,Benjamin Asare,GK,8,55,47
1177,45,Ugurcan Cakir,GK,8,55,46
927,6,Nikola Vasilj,GK,8,92,70
1014,28,Raul Rangel,GK,8,57,46
212,10,Camilo Vargas,GK,7,57,54
524,23,Jalal Hassan,GK,7,51,45
754,20,Manuel Neuer,GK,7,61,45
810,9,Maxime Crepeau,GK,7,49,40
155,44,Aymen Dahmen,GK,6,51,44
876,39,Mory Diaw,GK,5,53,45
333,32,Egil Selvik,GK,5,25,22
17,48,Abduvohid Nematov,GK,5,55,44
683,42,Kristoffer Nordfeldt,GK,4,22,20
387,47,Fernando Muslera,GK,4,41,34
29,23,Ahmed Basil,GK,3,43,36
1096,5,Senne Lammens,GK,2,7,5
1180,48,Utkir Yusupov,GK,1,27,21
880,44,Mouhib Chamakh,GK,1,26,20
604,21,Joseph Anang,GK,0,0,0
283,9,Dayne St Clair,GK,0,0,0
611,22,Josue Duverger,GK,0,0,0
34,29,Ahmed Reda Tagnaouti,GK,0,0,0
1220,39,Yehvann Diouf,GK,0,0,0
847,17,Mohamed Elshenawy,GK,0,0,0
1026,40,Ricardo Goss,GK,0,0,0
1112,40,Sipho Chaine,GK,0,0,0
967,9,Owen Goodman,GK,0,0,0
744,17,Mahdy Soliman,GK,0,0,0
851,12,Mohamed Kone,GK,0,0,0
1062,44,Sabri Ben Hessen,GK,0,0,0
67,22,Alexandre Pierre,GK,0,0,0
46,12,Alban Lafont,GK,0,0,0
885,29,Munir El Kajoui,GK,0,0,0
843,17,Mohamed Alaa,GK,0,0,0
516,13,Ivor Pandur,GK,0,0,0
312,13,Dominik Kotarski,GK,0,0,0
603,35,Jose Sa,GK,0,0,0
1056,35,Rui Silva,GK,0,0,0
771,30,Mark Flekken,GK,0,0,0
250,38,Craig Gordon,GK,0,0,0
948,20,Oliver Baumann,GK,0,0,0
395,4,Florian Wiegele,GK,0,0,0
202,19,Brice Samba,GK,0,0,0
978,4,Patrick Pentz,GK,0,0,0
834,5,Mike Penders,GK,0,0,0
1036,19,Robin Risser,GK,0,0,0
527,18,James Trafford,GK,0,0,0
1037,30,Robin Roefs,GK,0,0,0
285,18,Dean Henderson,GK,0,0,0
62,20,Alexander Nuebel,GK,0,0,0
1081,32,Sander Tangvik,GK,0,0,0
841,6,Mladen Jurkas,GK,0,0,0
783,6,Martin Zlomislic,GK,0,0,0
1176,14,Tyrick Bodak,GK,0,0,0
1168,14,Trevor Doornbusch,GK,0,0,0
239,46,Chris Brady,GK,0,0,0
870,16,Moises Ramirez,GK,0,0,0
1085,47,Santiago Mele,GK,0,0,0
1196,7,Weverton,GK,0,0,0
415,34,Gatito Fernandez,GK,0,0,0
442,28,Guillermo Ochoa,GK,0,3,3
1099,47,Sergio Rochet,GK,0,7,5
324,7,Ederson,GK,0,0,0
616,2,Juan Musso,GK,0,0,0
730,33,Luis Mejia,GK,0,0,0
94,10,Alvaro Montero,GK,0,0,0
436,16,Gonzalo Valle,GK,0,0,0
419,2,Geronimo Rulli,GK,0,0,0
801,46,Matt Turner,GK,0,21,17
414,34,Gaston Olveira,GK,0,0,0
228,33,Cesar Samudio,GK,0,0,0
278,10,David Ospina,GK,0,0,0
217,28,Carlos Acevedo,GK,0,0,0
1231,43,Yvon Mvogo,GK,0,0,0
559,15,Jindrich Stanek,GK,0,0,0
982,3,Paul Izzo,GK,0,0,0
738,15,Lukas Hornicek,GK,0,0,0
828,31,Michael Woud,GK,0,0,0
1185,42,Viktor Johansson,GK,0,0,0
186,48,Botirali Ergashev,GK,0,0,0
785,43,Marvin Keller,GK,0,0,0
562,41,Joan Garcia,GK,0,0,0
793,3,Mathew Ryan,GK,0,0,0
280,41,David Raya,GK,0,0,0
56,31,Alex Paulsen,GK,0,0,0
92,45,Altay Bayindir,GK,0,0,0
820,45,Mert Gunok,GK,0,0,0
709,38,Liam Kelly,GK,0,0,0
823,36,Meshaal Barsham,GK,0,0,0
5,26,Abdallah Alfakhori,GK,0,0,0
1157,11,Timothy Fayulu,GK,0,0,0
1164,25,Tomoki Hayakawa,GK,0,0,0
1116,27,Song Bumkeun,GK,0,0,0
986,24,Payam Niazmand,GK,0,0,0
476,24,Hossein Hosseini,GK,0,0,0
561,27,Jo Hyeonwoo,GK,0,0,0
643,25,Keisuke Osako,GK,0,0,0
816,1,Melvin Mastil,GK,0,0,0
761,8,Marcio Rosa,GK,0,0,0
28,37,Ahmed Alkassar,GK,0,0,0
377,23,Fahad Talib,GK,0,0,0
802,11,Matthieu Epolo,GK,0,0,0
247,8,Cj Dos Santos,GK,0,0,0
938,26,Nour Baniateyah,GK,0,0,0
966,1,Oussama Benbot,GK,0,14,13
901,37,Nawaf Alaqidi,GK,0,0,0
1066,36,Salah Zakaria,GK,0,0,0
